date,favorites,id,isRetweet,retweets,text
31/03/2020 16:18,145047,1244977299486880000,FALSE,24932,"I watched a portion of low rated (very) Morning Psycho (Joe) this Morning in order to see what Nancy Pelosi had to say, &amp; what moves she was planning to further hurt our Country. Actually, other than her usual complaining that I’m a terrible person, she wasn’t bad. Still praying!"
31/03/2020 14:27,113961,1244949335026150000,FALSE,17613,"“New York Governor Cuomo says President Trump has been “very helpful.” @foxandfriends  Thank you, everybody is working very hard!"
31/03/2020 01:24,133741,1244752500978260000,FALSE,35563,https://t.co/Zt3mEb1h99
31/03/2020 00:13,0,1244734499675670000,TRUE,7719,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/MLnQHuBDwj
30/03/2020 23:50,100525,1244728753617620000,FALSE,13017,White House news conference at 5:00 P.M. Eastern. Thank you!
30/03/2020 20:46,62337,1244682364284010000,FALSE,13938,https://t.co/2hKJkP5Z6N
30/03/2020 20:11,76503,1244673740866190000,FALSE,17998,"On #NationalDoctorsDay, we recognize the remarkable men &amp; women who treat their fellow Americans, find cures for the diseases &amp; illnesses we face, and never waver in their efforts to treat every patient with the dignity, respect, and empathy they deserve. https://t.co/7PRogpEVTP"
30/03/2020 20:05,161990,1244672122414330000,FALSE,35722,https://t.co/nzWJ8ViwbZ
30/03/2020 19:56,0,1244669862514910000,TRUE,8850,RT @DeptofDefense: LIVE: #USNSComfort arrives in New York in support of the DOD’s #COVID19 response efforts. (no sound) https://t.co/fajV9T…
30/03/2020 14:19,0,1244585061745290000,TRUE,9274,RT @TeamTrump: President @realDonaldTrump: “We’re all in this together. I have never seen anything like it.” https://t.co/RMsw1pYfoe
30/03/2020 14:19,0,1244585014806920000,TRUE,7443,RT @GOPChairwoman: FEMA and @realDonaldTrump’s administration are making sure we have the supplies we need to confront coronavirus. https:/…
30/03/2020 14:17,176797,1244584449309890000,FALSE,39393,"Nancy Pelosi and the Democrats delayed the Workers Help/Stimulus Bill by over a week, trying to add real “junk” into the Bill. Got some bad things, having nothing to do with those affected by the Virus, included. Republicans need their votes until we WIN BACK THE HOUSE IN 2020!"
30/03/2020 14:12,0,1244583281481380000,TRUE,13863,RT @realDonaldTrump: Will be interviewed on @foxandfriends at 7:55 A.M. USA STRONG!
30/03/2020 14:07,46779,1244581994614390000,FALSE,10605,Thank you Dr. Hahn &amp; the FDA for your fast approval of this respected Ohio company recommended by Governor @MikeDeWine. Great potential! https://t.co/jAiIUAXwaL
30/03/2020 08:15,87013,1244493463355340000,FALSE,13863,Will be interviewed on @foxandfriends at 7:55 A.M. USA STRONG!
30/03/2020 07:17,0,1244478744384980000,TRUE,6293,RT @SteveFDA: We issued a new authorization this evening to @Battelle for their decontamination system. @US_FDA staff have been working non…
30/03/2020 07:17,0,1244478710956330000,TRUE,8301,"RT @GovMikeDeWine: Thank you @realDonaldTrump and @SteveFDA! 
@US_FDA has now given Columbus-based @Battelle full approval of the use of ne…"
30/03/2020 02:43,60695,1244409814064770000,FALSE,12406,https://t.co/YzhyVR1N6d
30/03/2020 02:43,55936,1244409785681880000,FALSE,12811,https://t.co/MtEehGY9cp
30/03/2020 00:44,0,1244379945641650000,TRUE,9533,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/io9HpU9q2o
29/03/2020 23:57,79433,1244368213133140000,FALSE,11807,Will be starting The White House news conference at 5:30 P.M. Eastern.
29/03/2020 23:06,64858,1244355295033330000,FALSE,14470,"So proud of the @USACEHQ, @FEMA, and the Federal Government for the 2,900 bed hospital they built in 4 days (way ahead of schedule) in the Javits Center for NY. We are now moving the teams to join others so they can continue to build more hospitals/beds. Keep up the GREAT WORK!"
29/03/2020 23:03,50088,1244354540486510000,FALSE,8556,Thank you very much to Ken Langone for being a great American and for your wonderful comments on @TeamCavuto.
29/03/2020 22:00,503433,1244338645198350000,FALSE,90546,"I am a great friend and admirer of the Queen &amp; the United Kingdom. It was reported that Harry and Meghan, who left the Kingdom, would reside permanently in Canada. Now they have left Canada for the U.S. however, the U.S. will not pay for their security protection. They must pay!"
29/03/2020 21:10,68711,1244326171594160000,FALSE,17769,Happy National Vietnam War Veterans Day to all of our Vietnam era Veterans. You have earned our gratitude and thanks by your actions years ago and what you have done since returning home. The Nation thanks you and your families for your service and sacrifice. We love you! https://t.co/MbEjEcc4pW
29/03/2020 20:49,40237,1244320704826310000,FALSE,8215,...The CBS News poll said 13 percent of Republicans trusted the news media for information about the virus.” Michael M. Grynbaum @NYTimes
